Value1,Value2,Value3,Value4,Value5,Value6,attackerType
2841.32,2455.96,-13.97,-0.47,13.98,3.11,4
2436.9,2099.97,-2.59,13.73,13.97,-1.76,0
2401,17661,-0.94,13.96,13.99,-1.64,2
2442.64,2028.49,-1.11,13.91,13.95,-1.65,0
2450.43,1925.25,0.92,12.66,12.69,-1.5,0
2874.12,2193.2,0.92,12.66,12.7,-1.5,4
2447.74,1888.35,0.94,12.95,12.99,-1.5,0
2488.4,2162.8,-13.8,-1.96,13.94,3,4
2286.02,2116.81,-13.95,-0.47,13.95,3.11,0
2730.31,2430.13,-13.95,-0.47,13.96,3.11,4
0,0,-13.93,-0.47,13.93,3.11,1
2429.52,2111.68,-8.82,10.84,13.98,-2.25,0
0,0,-0.14,13.9,13.9,-1.58,1
2441.53,2042.36,-1.11,13.86,13.9,-1.65,0
2449.9,1937.89,-1.01,12.66,12.7,-1.65,0
2672.04,2181.88,0.92,12.7,12.74,-1.5,4
2448.68,1901.24,0.94,12.94,12.97,-1.5,0
1966,12555,-13.74,-1.95,13.88,3,2
2272.08,2116.34,-13.99,-0.47,14,3.11,0
1148,12862,-13.95,-0.47,13.96,3.11,2
2371.46,2139.02,-13.92,-0.47,13.93,3.11,3
2417.53,2118.64,-12.78,5.71,14,-2.72,0
871,17356,-2.58,13.69,13.93,-1.76,2
2440.43,2056.26,-1.04,13.9,13.94,-1.65,0
2448.89,1950.55,-1.01,12.66,12.7,-1.65,0
2470.33,1952.56,-1.02,12.68,12.72,-1.65,3
2449.62,1914.07,0.94,12.87,12.9,-1.5,0
2234.83,2130.65,-13.59,-3.25,13.98,2.91,3
2258.14,2115.86,-13.99,-0.47,14,3.11,0
0,0,-13.92,-0.47,13.93,3.11,1
0,0,-13.98,-0.47,13.99,3.11,1
2403.96,2120.79,-13.87,-0.47,13.88,3.11,0
789,17615,-8.82,10.85,13.99,-2.25,2
2439.49,2070.17,-0.94,13.9,13.93,-1.64,0
2447.87,1963.21,-1.01,12.63,12.67,-1.65,0
2469.31,1965.24,-1.02,12.69,12.73,-1.65,3
2450.55,1926.9,0.93,12.8,12.83,-1.5,0
0,0,-13.18,-4.47,13.91,2.81,1
2244.25,2115.06,-13.75,-1.95,13.89,3,0
849,11977,-13.97,-0.47,13.98,3.11,2
0,0,-13.97,-0.47,13.98,3.11,1
2390.02,2120.32,-13.89,-0.47,13.9,3.11,0
0,0,-12.75,5.7,13.96,-2.72,1
2438.62,2084.08,-0.55,13.93,13.94,-1.61,0
2446.86,1975.85,-1.01,12.66,12.7,-1.65,0
1566,11405,-1.01,12.63,12.67,-1.65,2
2449.76,1939.67,-1.03,12.83,12.87,-1.65,0
2208.44,2121.7,-13.19,-4.47,13.93,2.81,3
2230.46,2113.11,-13.74,-1.95,13.88,3,0
2289.6,2136.25,-13.87,-0.47,13.87,3.11,3
878,10706,-13.94,-0.47,13.95,3.11,2
2376.09,2119.85,-13.96,-0.47,13.96,3.11,0
2423.6,2140.78,-13.9,-0.47,13.9,3.11,3
2437.29,2097.91,-2.59,13.74,13.98,-1.76,0
2445.85,1988.5,-1.01,12.58,12.62,-1.65,0
2237,18762,-1.02,12.72,12.76,-1.65,2
2448.74,1952.42,-1.02,12.72,12.76,-1.65,0
2402.48,2357.62,-12.05,-7.09,13.98,2.61,4
2216.68,2111.15,-13.75,-1.95,13.89,3,0
1866,11139,-13.94,-0.47,13.95,3.11,2
0,0,-13.89,-0.47,13.89,3.11,1
2362.16,2119.38,-13.99,-0.47,14,3.11,0
803,14074,-13.87,-0.47,13.88,3.11,2
2430.85,2110.04,-8.81,10.84,13.97,-2.25,0
2444.83,2001.15,-1.01,12.65,12.69,-1.65,0
2466.27,2003.23,-1.01,12.58,12.62,-1.65,3
2447.72,1965.15,-1.02,12.67,12.71,-1.65,0
1413,17303,-12,-7.07,13.93,2.61,2
2203.45,2106.8,-13.24,-4.49,13.98,2.81,0
2261.79,2134.71,-13.8,-1.96,13.94,3,3
0,0,-13.99,-0.47,14,3.11,1
2348.25,2118.91,-13.96,-0.47,13.96,3.11,0
0,0,-13.95,-0.47,13.96,3.11,1
2419.5,2117.77,-12.66,5.66,13.87,-2.72,0
2443.82,2013.79,-1.01,12.63,12.67,-1.65,0
2465.26,2015.87,-1.01,12.63,12.67,-1.65,3
2446.7,1977.81,-1.01,12.62,12.66,-1.65,0
2589.22,2204.93,-9.8,-5.77,11.37,2.61,4
2190.26,2102.32,-13.23,-4.49,13.97,2.81,0
0,0,-13.78,-1.95,13.92,3,1
2287.88,2136.19,-13.93,-0.47,13.94,3.11,3
2334.32,2118.44,-13.99,-0.47,14,3.11,0
875,12712,-13.91,-0.47,13.91,3.11,2
2406.09,2120.86,-13.9,-0.47,13.91,3.11,0
2442.81,2026.42,-1.01,12.59,12.63,-1.65,0
1071,18119,-1.01,12.61,12.65,-1.65,2
2445.69,1990.49,-1.02,12.72,12.76,-1.65,0
2402.55,2240.42,-5.92,-3.49,6.87,2.61,4
2177.18,2097.62,-12.67,-5.77,13.93,2.71,0
2472.28,2356.47,-13.37,-3.82,13.91,2.86,4
2466.95,2568.72,-13.94,-0.47,13.95,3.11,4
2320.4,2117.97,-13.95,-0.47,13.96,3.11,0
353,14428,-13.97,-0.47,13.98,3.11,2
2392.15,2120.39,-13.98,-0.47,13.99,3.11,0
2441.8,2039.06,-1.02,12.68,12.72,-1.65,0
320,17097,-1.01,12.67,12.71,-1.65,2
2444.67,2003.17,-1.02,12.71,12.75,-1.65,0
0,0,-2.04,-1.2,2.37,2.61,1
2166.01,2091.05,-9.9,-5.83,11.49,2.61,0
2221.09,2125.99,-13.16,-4.46,13.9,2.81,3
2247.09,2528.47,-13.86,-1.97,14,3,4
2306.47,2117.5,-13.99,-0.47,14,3.11,0
2673.92,2313.42,-13.94,-0.47,13.95,3.11,4
2378.24,2119.92,-13.88,-0.47,13.89,3.11,0
2440.78,2051.69,-1.01,12.59,12.63,-1.65,0
2462.22,2053.81,-1.01,12.59,12.63,-1.65,3
2443.66,2015.85,-1.01,12.57,12.61,-1.65,0
0,0,0,0,0,2.61,1
2157.61,2086.1,-7.15,-4.21,8.29,2.61,0
0,0,-13.19,-4.47,13.92,2.81,1
0,0,-13.76,-1.95,13.89,3,1
2292.55,2117.03,-13.96,-0.47,13.97,3.11,0
1636,10333,-13.87,-0.47,13.88,3.11,2
2364.31,2119.45,-13.93,-0.47,13.94,3.11,0
2439.89,2064.34,-0.86,12.68,12.71,-1.64,0
0,0,-1.01,12.62,12.67,-1.65,1
2442.64,2028.51,-1.01,12.66,12.7,-1.65,0
2160.32,2095.93,0,0,0,2.61,3
2151.78,2082.67,-4.79,-2.82,5.56,2.61,0
2195.81,2116.82,-10.17,-5.98,11.8,2.61,3
2232.66,2129.92,-13.15,-4.46,13.89,2.81,3
2278.62,2116.56,-13.97,-0.47,13.98,3.11,0
2326.07,2137.48,-13.92,-0.47,13.93,3.11,3
2350.38,2118.98,-13.91,-0.47,13.92,3.11,0
2439.03,2076.99,-0.86,12.65,12.68,-1.64,0
1528,16580,-0.86,12.65,12.68,-1.64,2
2441.63,2041.17,-1.02,12.78,12.82,-1.65,0
2208.32,2522.93,0,0,0,2.61,4
2148.12,2080.51,-2.85,-1.68,3.31,2.61,0
0,0,-8.03,-4.73,9.32,2.61,1
2427.47,2392.45,-13.18,-4.47,13.92,2.81,4
2264.7,2116.09,-13.89,-0.47,13.9,3.11,0
2343.14,2338.01,-13.91,-0.47,13.92,3.11,4
2336.45,2118.51,-13.94,-0.47,13.95,3.11,0
2438.55,2089.92,-0.31,13.61,13.62,-1.59,0
2459.37,2091.89,-0.89,13.17,13.2,-1.64,3
2440.61,2053.89,-1.04,12.94,12.98,-1.65,0
1842,16628,0,0,0,2.61,2
2146.14,2079.35,-1.4,-0.82,1.62,2.61,0
2180.02,2107.52,-5.91,-3.48,6.86,2.61,3
2206.56,2121.07,-12.15,-4.12,12.83,2.81,3
2250.77,2115.62,-13.98,-0.47,13.98,3.11,0
898,11300,-13.99,-0.47,14,3.11,2
2322.52,2118.04,-13.95,-0.47,13.96,3.11,0
2435.35,2103.29,-7.17,11.92,13.91,-2.11,0
2871.58,2383.51,-0.39,13.7,13.71,-1.6,4
2439.69,2067.29,-0.91,13.48,13.51,-1.64,0
0,0,0,0,0,2.61,1
2145.21,2078.8,-0.61,-0.36,0.7,2.61,0
753,18986,-4.08,-2.4,4.73,2.61,2
2241.93,2464.88,-8.95,-5.27,10.39,2.61,4
2236.96,2114.03,-13.74,-1.95,13.87,3,0
2284.27,2136.07,-13.97,-0.47,13.98,3.11,3
2308.59,2117.57,-13.92,-0.47,13.92,3.11,0
2426.6,2113.88,-11.74,7.45,13.9,-2.58,0
2700.06,2121.14,-2.56,13.59,13.83,-1.76,4
2438.77,2080.84,-0.92,13.55,13.58,-1.64,0
2160.32,2095.93,0,0,0,2.61,3
2144.84,2078.59,-0.22,-0.13,0.26,2.61,0
2009,15696,-2.36,-1.39,2.74,2.61,2
2188.09,2112.27,-6.98,-4.11,8.1,2.61,3
2223.17,2112.07,-13.83,-1.96,13.97,3,0
2600.33,2382.6,-13.95,-0.47,13.96,3.11,4
2294.64,2117.1,-13.99,-0.47,13.99,3.11,0
2414.09,2119.88,-13.32,4.27,13.99,-2.83,0
0,0,-8.66,10.65,13.73,-2.25,1
2437.95,2094.42,-2.07,13.52,13.68,-1.72,0
2366.32,2279.93,0,0,0,2.61,4
2144.71,2078.51,-0.08,-0.05,0.1,2.61,0
2636.34,2381.82,-1.27,-0.75,1.48,2.61,4
2447,10514,-4.99,-2.94,5.79,2.61,2
2209.66,2108.9,-13.23,-4.49,13.97,2.81,0
2256.5,2133.96,-13.83,-1.96,13.97,3,3
2280.72,2116.63,-13.88,-0.47,13.88,3.11,0
2400.3,2120.67,-13.97,-0.47,13.98,3.11,0
1628,15440,-12.61,5.64,13.81,-2.72,2
2433.12,2106.99,-7.08,11.78,13.75,-2.11,0
0,0,0,0,0,2.61,1
2144.66,2078.48,-0.03,-0.02,0.03,2.61,0
0,0,-0.56,-0.33,0.65,2.61,1
2502.17,2524.43,-3.25,-1.91,3.77,2.61,4
2196.45,2104.42,-13.19,-4.47,13.93,2.81,0
0,0,-13.76,-1.95,13.9,3,1
2266.8,2116.16,-13.89,-0.47,13.89,3.11,0
2386.37,2120.2,-13.98,-0.47,13.99,3.11,0
2425.22,2140.83,-13.83,-0.47,13.84,3.11,3
2423.11,2116.1,-11.59,7.36,13.72,-2.58,0
0,0,0,0,0,2.61,1
2144.64,2078.47,-0.01,-0.01,0.01,2.61,0
2176.16,2289.13,-0.22,-0.13,0.25,2.61,4
2169.66,2362.95,-1.95,-1.15,2.27,2.61,4
2183.79,2100.13,-11.55,-3.92,12.2,2.81,0
2229.21,2128.75,-13.25,-4.49,13.99,2.81,3
2252.88,2115.69,-13.87,-0.47,13.88,3.11,0
2372.46,2119.73,-13.95,-0.47,13.96,3.11,0
2467.41,2385.37,-13.77,-0.47,13.78,3.11,4
2410.23,2120.76,-13.47,3.06,13.82,-2.92,0
2160.32,2095.93,0,0,0,2.61,3
2144.64,2078.46,0,0,0,2.61,0
2169.02,2101.05,-0.08,-0.05,0.09,2.61,3
0,0,-0.94,-0.56,1.09,2.61,1
2174.1,2095.81,-8.04,-4.73,9.33,2.61,0
0,0,-11.84,-4.02,12.5,2.81,1
2239.03,2114.32,-13.83,-1.96,13.97,3,0
2358.56,2119.26,-13.96,-0.47,13.97,3.11,0
0,0,-13.84,-0.47,13.85,3.11,1
2396.45,2120.54,-13.84,-0.47,13.85,3.11,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
1551,15579,-0.03,-0.02,0.04,2.61,2
2206.68,2214.79,-0.42,-0.25,0.49,2.61,4
2167.32,2091.82,-5.74,-3.38,6.66,2.61,0
0,0,-9.54,-3.24,10.07,2.81,1
2225.22,2112.36,-13.81,-1.96,13.95,3,0
2344.65,2118.79,-13.91,-0.47,13.92,3.11,0
0,0,-13.87,-0.47,13.87,3.11,1
2382.64,2120.07,-13.76,-0.46,13.77,3.11,0
2411.32,2502.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
2410.95,2513.01,-0.01,-0.01,0.01,2.61,4
1693,11253,-0.16,-0.1,0.19,2.61,2
2162.73,2089.11,-3.7,-2.18,4.29,2.61,0
2371,15168,-7.3,-2.95,7.88,2.76,2
2211.61,2109.56,-13.19,-4.47,13.93,2.81,0
2330.73,2118.32,-13.93,-0.47,13.93,3.11,0
2369.8,2138.96,-13.84,-0.47,13.85,3.11,3
2368.78,2119.6,-13.78,-0.47,13.79,3.11,0
2267.32,2093.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0.01,2.61,1
0,0,-0.06,-0.04,0.07,2.61,1
2160,2087.51,-2.03,-1.19,2.35,2.61,0
824,14161,-5.06,-2.98,5.87,2.61,2
2199,2105.29,-11.66,-3.96,12.32,2.81,0
2316.81,2117.85,-13.91,-0.47,13.92,3.11,0
1876,13761,-13.94,-0.47,13.95,3.11,2
2354.94,2119.13,-13.85,-0.47,13.86,3.11,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
2371.28,2438.55,-0.02,-0.01,0.03,2.61,4
2158.57,2086.67,-0.99,-0.58,1.15,2.61,0
0,0,-3.49,-2.05,4.05,2.61,1
2188.57,2101.75,-9.37,-3.18,9.89,2.81,0
2302.88,2117.38,-13.99,-0.47,14,3.11,0
2342,2138.02,-13.99,-0.47,14,3.11,3
2341.06,2118.67,-13.93,-0.47,13.94,3.11,0
2572.32,2267.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
2563.94,2295,0,0,0,2.61,4
2173.26,2103.54,-0.01,-0.01,0.01,2.61,3
2157.95,2086.3,-0.41,-0.24,0.48,2.61,0
0,0,-2.18,-1.28,2.53,2.61,1
2180.36,2098.96,-7.28,-2.47,7.69,2.81,0
2288.95,2116.91,-13.92,-0.47,13.93,3.11,0
2328.1,2137.55,-13.97,-0.47,13.98,3.11,3
2327.19,2118.2,-13.91,-0.47,13.91,3.11,0
728,18421,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
2173.26,2103.54,0,0,0,2.61,3
2157.71,2086.16,-0.15,-0.09,0.17,2.61,0
2428,13630,-1.18,-0.7,1.37,2.61,2
2174.6,2096.1,-4.81,-2.83,5.58,2.61,0
2275.01,2116.43,-13.98,-0.47,13.99,3.11,0
2314.18,2137.08,-13.89,-0.47,13.9,3.11,3
2313.3,2117.73,-13.96,-0.47,13.97,3.11,0
2470.32,2472.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.61,2086.1,-0.05,-0.03,0.06,2.61,0
2527.45,2242.95,-0.55,-0.32,0.64,2.61,4
2170.75,2093.84,-3.13,-1.84,3.63,2.61,0
2261.07,2115.96,-13.9,-0.47,13.9,3.11,0
311,13010,-13.94,-0.47,13.95,3.11,2
2299.41,2117.26,-13.94,-0.47,13.94,3.11,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
1396,17875,0,0,0,2.61,2
2161.25,2113.54,0,0,0,2.61,4
2157.58,2086.08,-0.02,-0.01,0.02,2.61,0
2058,11727,-0.23,-0.13,0.26,2.61,2
2168.42,2092.47,-1.76,-1.03,2.04,2.61,0
2247.15,2115.47,-13.94,-0.58,13.95,3.1,0
1465,12178,-13.85,-0.47,13.86,3.11,2
2285.53,2116.79,-13.9,-0.47,13.91,3.11,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
0,0,0,0,0,2.61,1
2157.57,2086.08,-0.01,0,0.01,2.61,0
2252.96,2096.66,-0.09,-0.05,0.1,2.61,4
2167.17,2091.73,-0.87,-0.51,1.01,2.61,0
2233.35,2113.52,-13.85,-1.96,13.99,3,0
2272.44,2135.67,-13.89,-0.47,13.9,3.11,3
2271.62,2116.32,-13.93,-0.47,13.94,3.11,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
2181.91,2108.63,-0.03,-0.02,0.04,2.61,3
2166.58,2091.38,-0.39,-0.23,0.45,2.61,0
2219.55,2111.56,-13.76,-1.95,13.9,3,0
2707.61,2565.26,-13.75,-1.95,13.88,3,4
2257.72,2115.85,-13.88,-0.47,13.89,3.11,0
2284.32,2181.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
0,0,-0.01,-0.01,0.02,2.61,1
2166.34,2091.24,-0.15,-0.09,0.18,2.61,0
2206.2,2107.72,-13.14,-4.45,13.87,2.81,0
2595.82,2338.31,-13.77,-1.95,13.9,3,4
2243.85,2115.01,-13.79,-1.96,13.93,3,0
387,15331,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
2481.94,2442,0,0,0,2.61,4
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
0,0,-0.01,0,0.01,2.61,1
2166.24,2091.18,-0.06,-0.04,0.07,2.61,0
2193.81,2103.52,-11.08,-3.76,11.7,2.81,0
2231.68,2129.59,-11.91,-4.04,12.58,2.81,3
2230.32,2113.09,-12.85,-1.82,12.97,3,0
2284,11618,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
1922,12475,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
424,10966,0,0,0,2.61,2
2166.21,2091.16,-0.02,-0.01,0.03,2.61,0
2184.41,2100.34,-8.02,-2.72,8.47,2.81,0
2467,14219,-9.6,-3.26,10.14,2.81,2
2218.46,2111.4,-11.03,-1.56,11.14,3,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.19,2091.15,-0.01,-0.01,0.01,2.61,0
2177.9,2098.04,-5.32,-1.99,5.68,2.78,0
0,0,-7.52,-2.55,7.94,2.81,1
2208.74,2108.59,-8.87,-3.01,9.37,2.81,0
2584.32,2284.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
1199,16540,0,0,0,2.61,2
2253.25,2495.54,0,0,0,2.61,4
2157.56,2086.07,0,0,0,2.61,0
226,12240,0,0,0,2.61,2
2166.19,2091.15,0,0,0,2.61,0
2174.12,2095.82,-2.93,-1.72,3.4,2.61,0
2206.3,2120.98,-5.64,-1.91,5.96,2.81,3
2200.69,2105.86,-7.38,-2.5,7.79,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
1299,12283,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
1531,15344,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2172.07,2094.62,-1.45,-0.85,1.68,2.61,0
2201.55,2119.37,-4.02,-1.36,4.24,2.81,3
2194.15,2103.64,-5.88,-1.99,6.21,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
2217.94,2107,0,0,0,2.61,4
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
1260,11164,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2171.11,2094.05,-0.64,-0.38,0.75,2.61,0
2607.31,2562.27,-2.58,-0.88,2.73,2.81,4
2189,2101.89,-4.62,-1.57,4.88,2.81,0
2188.32,2139.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
1774,15140,0,0,0,2.61,2
2133,13074,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
2225.87,2193.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.71,2093.82,-0.24,-0.14,0.28,2.61,0
0,0,-1.4,-0.75,1.58,2.65,1
2185.17,2100.59,-3.32,-1.13,3.51,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
1320,11544,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.57,2093.73,-0.09,-0.05,0.1,2.61,0
2195.54,2116.66,-0.68,-0.4,0.78,2.61,3
2182.53,2099.7,-2.18,-0.74,2.3,2.81,0
1431,12014,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
2406.87,2543.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.52,2093.7,-0.03,-0.02,0.04,2.61,0
2413.1,2350.4,-0.29,-0.17,0.34,2.61,4
2180.86,2099.13,-1.3,-0.44,1.37,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.5,2093.69,-0.01,-0.01,0.01,2.61,0
0,0,-0.12,-0.07,0.14,2.61,1
2179.96,2098.83,-0.65,-0.22,0.69,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
2603.25,2521.54,0,0,0,2.61,4
2157.56,2086.07,0,0,0,2.61,0
1177,10174,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.69,0,0,0,2.61,0
0,0,-0.05,-0.03,0.05,2.61,1
2179.53,2098.68,-0.29,-0.1,0.31,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
477,15581,0,0,0,2.61,2
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
2200,11590,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.69,0,0,0,2.61,0
890,10740,-0.02,-0.01,0.02,2.61,2
2179.34,2098.62,-0.13,-0.04,0.13,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
2370.94,2439,0,0,0,2.61,4
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
2185.87,2388.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
0,0,-0.01,0,0.01,2.61,1
2179.26,2098.59,-0.05,-0.02,0.06,2.81,0
2063,16382,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
917,10601,0,0,0,2.61,2
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
938,14637,0,0,0,2.61,2
2179.22,2098.58,-0.02,-0.01,0.02,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
1079,13649,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
1025,19056,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2179.21,2098.57,-0.01,0,0.01,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
2237.87,2286.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
352,15789,0,0,0,2.61,2
2179.2,2098.57,0,0,0,2.81,0
2333.32,2489.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
2299.94,2331,0,0,0,2.61,4
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2362.8,2455.22,0,0,0,2.61,4
2179.2,2098.57,0,0,0,2.81,0
2219.32,2142.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
2243,15791,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2293.8,2321.22,0,0,0,2.61,4
2179.2,2098.57,0,0,0,2.81,0
2245.32,2465.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2304.25,2186.54,0,0,0,2.61,4
2157.56,2086.07,0,0,0,2.61,0
1446,19448,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2192,18185,0,0,0,2.61,2
2179.2,2098.57,0,0,0,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
2504.25,2089.54,0,0,0,2.61,4
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
619,14396,0,0,0,2.61,2
2179.2,2098.57,0,0,0,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
1630,19314,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
1066,10699,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2309.8,2545.22,0,0,0,2.61,4
2179.2,2098.57,0,0,0,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
382,13520,0,0,0,2.61,2
2303.25,2441.54,0,0,0,2.61,4
2157.56,2086.07,0,0,0,2.61,0
2525.87,2097.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2506.8,2255.22,0,0,0,2.61,4
2179.2,2098.57,0,0,0,2.81,0
0,0,0,0,0,2.61,1
2144.63,2078.46,0,0,0,2.61,0
2156.94,2326,0,0,0,2.61,4
0,0,0,0,0,2.61,1
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2179.2,2098.57,0,0,0,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
2181.87,2108.61,0,0,0,2.61,3
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
1024,10539,0,0,0,2.61,2
2179.2,2098.57,0,0,0,2.81,0
1691,17711,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
2168.94,2101,0,0,0,2.61,3
1759,11069,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
0,0,0,0,0,2.61,1
